Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
236,4.6,3.8,1.6,0.2,Iris-setosa
237,5.7,3.0,1.2,0.2,Iris-setosa
238,5.0,3.5,1.4,0.3,Iris-setosa
239,4.6,4.0,1.4,0.4,Iris-setosa
240,5.1,3.6,1.6,0.3,Iris-setosa
241,5.2,3.9,1.5,0.3,Iris-setosa
242,5.0,4.0,1.3,0.4,Iris-setosa
243,5.0,2.9,1.5,0.2,Iris-setosa
244,5.3,3.2,1.4,0.0,Iris-setosa
245,4.8,2.5,1.2,0.3,Iris-setosa
246,5.3,3.6,1.3,0.2,Iris-setosa
247,5.0,3.0,1.7,0.3,Iris-setosa
248,4.9,3.4,1.5,0.0,Iris-setosa
249,4.9,3.2,1.3,0.2,Iris-setosa
250,5.6,3.7,1.4,0.3,Iris-setosa
251,5.5,3.8,1.5,0.2,Iris-setosa
252,5.3,3.6,1.6,0.3,Iris-setosa
253,5.4,3.2,1.7,0.3,Iris-setosa
254,5.7,3.2,1.8,0.3,Iris-setosa
255,4.8,3.2,1.4,0.3,Iris-setosa
256,5.2,3.2,1.5,0.5,Iris-setosa
257,5.6,3.6,1.5,0.3,Iris-setosa
258,5.2,3.0,1.4,0.1,Iris-setosa
259,5.1,3.7,1.4,0.4,Iris-setosa
260,4.6,2.9,1.5,0.4,Iris-setosa
261,5.6,3.2,1.7,0.2,Iris-setosa
262,4.9,3.8,1.6,0.1,Iris-setosa
263,5.5,3.9,1.4,0.3,Iris-setosa
264,5.2,3.5,1.4,0.2,Iris-setosa
265,5.0,3.9,1.6,0.2,Iris-setosa
266,5.3,2.3,1.7,0.1,Iris-setosa
267,4.9,3.0,1.2,0.4,Iris-setosa
268,4.8,3.6,1.5,0.3,Iris-setosa
269,5.0,2.9,1.6,0.2,Iris-setosa
270,4.5,3.3,1.7,0.3,Iris-setosa
271,4.9,3.3,1.4,0.5,Iris-setosa
272,5.1,3.6,1.6,0.3,Iris-setosa
273,4.9,3.3,1.5,0.2,Iris-setosa
274,5.3,3.4,1.6,0.2,Iris-setosa
275,5.0,2.7,1.6,0.3,Iris-setosa
276,5.4,2.3,1.8,0.2,Iris-setosa
277,5.4,3.0,1.6,0.1,Iris-setosa
278,4.8,4.1,1.4,0.3,Iris-setosa
279,5.3,3.6,1.5,0.3,Iris-setosa
280,5.9,3.4,1.5,0.4,Iris-setosa
281,5.4,3.9,1.6,0.1,Iris-setosa
282,5.6,3.0,1.5,0.2,Iris-setosa
283,5.0,3.5,1.5,0.3,Iris-setosa
284,5.6,3.6,1.4,0.3,Iris-setosa
285,5.4,3.0,1.6,0.3,Iris-setosa
286,4.9,3.9,1.4,0.3,Iris-setosa
287,4.9,3.4,1.3,0.1,Iris-setosa
288,5.6,3.1,1.3,0.0,Iris-setosa
289,4.8,2.9,1.7,0.4,Iris-setosa
290,4.8,4.3,1.6,0.2,Iris-setosa
291,4.1,4.3,1.2,0.1,Iris-setosa
292,5.4,4.3,1.7,0.3,Iris-setosa
293,5.2,3.7,1.6,0.3,Iris-setosa
294,5.0,3.4,1.3,0.2,Iris-setosa
295,4.4,3.4,1.3,0.1,Iris-setosa
296,5.1,3.9,1.6,0.1,Iris-setosa
297,4.7,3.8,1.3,0.2,Iris-setosa
298,5.2,3.0,1.5,0.1,Iris-setosa
299,4.8,3.5,1.2,0.3,Iris-setosa
300,5.0,3.6,1.5,0.4,Iris-setosa
301,5.1,3.3,1.5,0.3,Iris-setosa
302,5.0,3.4,1.3,0.2,Iris-setosa
303,4.5,4.1,1.2,0.2,Iris-setosa
304,4.8,3.8,1.4,0.4,Iris-setosa
305,4.8,3.5,1.3,0.5,Iris-setosa
306,4.6,3.5,1.6,0.3,Iris-setosa
307,4.9,3.4,1.5,0.2,Iris-setosa
308,5.3,4.3,1.4,0.1,Iris-setosa
309,5.0,4.4,1.3,0.4,Iris-setosa
310,5.6,3.2,1.6,0.4,Iris-setosa
311,4.9,3.3,1.4,0.1,Iris-setosa
312,4.8,3.0,1.5,0.2,Iris-setosa
313,5.1,2.8,1.5,0.3,Iris-setosa
314,4.3,3.6,1.7,0.1,Iris-setosa
315,5.6,3.6,1.3,0.2,Iris-setosa
316,5.2,3.4,1.6,0.1,Iris-setosa
317,5.1,2.9,1.4,0.1,Iris-setosa
318,4.7,3.9,1.7,0.3,Iris-setosa
319,4.6,3.3,1.7,0.3,Iris-setosa
320,5.8,3.6,1.5,0.2,Iris-setosa
321,5.1,3.4,1.6,0.3,Iris-setosa
322,4.7,2.9,1.1,0.3,Iris-setosa
323,4.6,2.6,1.5,0.5,Iris-setosa
324,5.0,3.7,1.5,0.2,Iris-setosa
325,5.3,3.3,1.5,0.3,Iris-setosa
326,4.8,3.8,1.4,0.2,Iris-setosa
327,5.2,3.1,1.5,0.2,Iris-setosa
328,5.4,3.6,1.5,0.3,Iris-setosa
329,5.5,3.6,1.5,0.1,Iris-setosa
330,4.6,3.3,1.4,0.2,Iris-setosa
331,5.0,3.6,1.5,0.3,Iris-setosa
332,5.0,2.7,1.3,0.2,Iris-setosa
333,4.6,3.6,1.7,0.4,Iris-setosa
334,4.9,4.0,1.5,0.2,Iris-setosa
335,4.8,3.3,1.4,0.3,Iris-setosa
336,5.1,3.4,1.5,0.4,Iris-setosa
337,5.3,2.9,1.0,0.3,Iris-setosa
338,4.5,3.3,1.3,0.1,Iris-setosa
339,5.2,3.7,1.4,-0.0,Iris-setosa
340,4.8,3.6,1.2,0.3,Iris-setosa
341,5.0,3.6,1.5,0.1,Iris-setosa
342,5.4,3.4,1.5,0.1,Iris-setosa
343,4.8,3.1,1.4,0.4,Iris-setosa
344,4.5,2.8,1.7,0.2,Iris-setosa
345,4.8,3.8,1.4,0.4,Iris-setosa
346,5.2,3.2,1.8,0.2,Iris-setosa
347,5.3,3.5,1.7,0.4,Iris-setosa
348,5.0,3.1,1.5,0.2,Iris-setosa
349,5.7,3.5,1.4,0.3,Iris-setosa
350,4.5,3.0,1.7,0.2,Iris-setosa
351,4.6,3.6,1.7,0.3,Iris-setosa
352,5.4,3.1,1.2,0.4,Iris-setosa
353,4.9,3.3,1.7,0.3,Iris-setosa
354,5.2,4.2,1.4,0.3,Iris-setosa
355,5.0,3.5,1.7,0.3,Iris-setosa
356,5.2,3.8,1.4,0.2,Iris-setosa
357,4.6,2.7,1.8,0.1,Iris-setosa
358,4.9,3.3,1.5,0.3,Iris-setosa
359,5.3,3.2,1.4,0.3,Iris-setosa
360,4.9,4.0,1.5,0.3,Iris-setosa
361,5.2,3.9,1.5,0.1,Iris-setosa
362,5.1,3.2,1.4,0.3,Iris-setosa
363,5.4,3.4,1.5,0.4,Iris-setosa
364,5.1,4.4,1.6,0.1,Iris-setosa
365,5.3,3.6,1.7,0.3,Iris-setosa
366,5.0,3.0,1.4,0.2,Iris-setosa
367,4.8,3.6,1.8,0.3,Iris-setosa
368,4.6,3.6,1.7,0.2,Iris-setosa
369,5.0,3.4,1.3,0.3,Iris-setosa
370,5.0,3.6,1.3,0.2,Iris-setosa
371,5.3,3.3,1.8,0.2,Iris-setosa
372,5.1,3.8,1.2,0.1,Iris-setosa
373,4.5,3.9,1.4,0.5,Iris-setosa
374,4.8,3.5,1.7,0.5,Iris-setosa
375,5.7,3.9,1.6,0.3,Iris-setosa
376,5.3,3.2,1.3,0.2,Iris-setosa
377,4.9,3.2,1.6,0.3,Iris-setosa
378,5.0,4.0,1.3,0.2,Iris-setosa
379,4.8,2.7,1.4,0.2,Iris-setosa
380,5.5,3.7,1.3,0.4,Iris-setosa
381,5.4,3.6,1.4,0.1,Iris-setosa
382,4.9,3.8,1.8,0.4,Iris-setosa
383,4.8,3.0,1.5,0.1,Iris-setosa
384,5.1,3.4,1.4,0.1,Iris-setosa
385,5.2,3.2,1.3,0.0,Iris-setosa
386,5.0,4.1,1.8,0.2,Iris-setosa
387,4.8,3.6,1.3,0.3,Iris-setosa
388,5.3,3.9,1.4,0.2,Iris-setosa
389,4.7,3.1,1.4,0.3,Iris-setosa
390,5.3,3.1,1.7,0.2,Iris-setosa
391,5.0,3.1,1.0,0.3,Iris-setosa
392,5.3,3.3,1.5,0.3,Iris-setosa
393,4.5,3.2,1.6,0.1,Iris-setosa
394,5.1,2.9,1.5,0.2,Iris-setosa
395,4.4,3.9,1.3,0.2,Iris-setosa
396,5.1,3.9,1.3,0.3,Iris-setosa
397,5.2,3.7,1.5,0.2,Iris-setosa
398,4.7,3.5,1.3,0.0,Iris-setosa
399,5.2,3.8,1.1,0.1,Iris-setosa
400,5.2,4.2,1.5,0.2,Iris-setosa
401,4.9,3.9,1.4,0.2,Iris-setosa
402,4.8,3.1,1.5,0.4,Iris-setosa
403,5.1,3.3,1.4,0.1,Iris-setosa
404,5.3,3.4,1.4,0.6,Iris-setosa
405,5.1,3.1,1.4,0.4,Iris-setosa
406,5.0,2.9,1.6,0.2,Iris-setosa
407,5.7,3.8,1.4,0.4,Iris-setosa
408,5.0,3.7,1.5,0.2,Iris-setosa
409,4.8,3.8,1.4,0.2,Iris-setosa
410,4.7,3.6,1.8,0.1,Iris-setosa
411,5.0,4.0,1.5,0.3,Iris-setosa
412,4.6,3.6,1.4,0.3,Iris-setosa
413,5.4,4.4,1.6,0.3,Iris-setosa
414,5.1,3.3,1.5,0.2,Iris-setosa
415,5.1,3.9,1.3,0.4,Iris-setosa
416,5.5,3.4,1.1,0.2,Iris-setosa
417,5.5,3.4,1.3,0.2,Iris-setosa
418,5.3,3.6,1.4,0.2,Iris-setosa
419,4.9,3.1,1.7,0.2,Iris-setosa
420,5.4,4.0,1.6,0.2,Iris-setosa
421,5.1,3.4,1.3,0.3,Iris-setosa
422,4.6,3.9,1.4,0.3,Iris-setosa
423,5.1,3.3,1.6,0.2,Iris-setosa
424,5.3,2.9,1.5,0.5,Iris-setosa
425,4.7,3.2,1.6,0.3,Iris-setosa
426,5.1,3.6,1.6,0.4,Iris-setosa
427,5.2,3.3,1.6,0.4,Iris-setosa
428,5.0,3.0,1.7,0.2,Iris-setosa
429,4.2,3.7,1.4,0.2,Iris-setosa
430,5.1,3.5,1.6,0.2,Iris-setosa
431,5.2,3.3,1.6,0.3,Iris-setosa
432,4.7,3.8,1.4,0.3,Iris-setosa
433,5.1,4.1,1.4,0.2,Iris-setosa
434,5.0,3.3,1.6,0.1,Iris-setosa
435,4.6,3.0,1.6,0.4,Iris-setosa
436,5.0,3.4,1.5,0.4,Iris-setosa
437,4.7,3.5,1.6,0.3,Iris-setosa
438,5.1,3.8,1.0,0.3,Iris-setosa
439,4.8,2.7,1.6,0.4,Iris-setosa
440,5.0,3.8,1.7,0.4,Iris-setosa
441,5.6,3.7,1.5,0.1,Iris-setosa
442,4.9,3.1,1.8,0.2,Iris-setosa
443,5.0,3.6,1.5,0.4,Iris-setosa
444,4.8,3.5,1.3,0.1,Iris-setosa
445,4.8,3.4,1.4,0.2,Iris-setosa
446,4.5,3.4,1.2,0.3,Iris-setosa
447,5.0,2.9,1.4,0.2,Iris-setosa
448,5.1,3.9,1.1,0.3,Iris-setosa
449,4.9,3.7,1.5,0.2,Iris-setosa
450,4.9,3.1,1.7,0.2,Iris-setosa
451,5.7,3.4,1.3,0.1,Iris-setosa
452,4.4,2.8,1.5,0.3,Iris-setosa
453,4.4,3.8,1.4,0.3,Iris-setosa
454,5.6,3.8,1.4,0.1,Iris-setosa
455,4.2,3.1,1.4,0.1,Iris-setosa
456,5.0,3.4,1.4,0.2,Iris-setosa
457,5.1,3.6,1.3,0.4,Iris-setosa
458,5.0,3.4,1.6,0.3,Iris-setosa
459,5.3,3.5,1.4,0.3,Iris-setosa
460,4.6,3.5,1.5,0.2,Iris-setosa
461,5.0,2.7,1.4,0.3,Iris-setosa
462,5.1,3.0,1.7,0.2,Iris-setosa
463,5.3,3.6,1.4,0.4,Iris-setosa
464,4.6,3.8,1.6,0.2,Iris-setosa
465,5.5,3.3,1.5,0.3,Iris-setosa
466,5.0,3.7,1.6,0.1,Iris-setosa
467,5.5,2.8,1.6,0.4,Iris-setosa
468,4.6,3.3,1.3,0.2,Iris-setosa
469,4.9,3.7,1.7,0.4,Iris-setosa
470,4.8,3.3,1.2,0.2,Iris-setosa
471,5.3,4.0,1.2,0.2,Iris-setosa
472,5.0,3.5,1.3,0.3,Iris-setosa
473,4.8,3.4,1.6,0.2,Iris-setosa
474,4.9,3.4,1.4,0.2,Iris-setosa
475,4.9,4.0,1.6,0.2,Iris-setosa
476,5.3,3.3,1.7,0.3,Iris-setosa
477,5.0,3.6,1.2,0.1,Iris-setosa
478,4.6,3.5,1.8,0.5,Iris-setosa
479,5.2,3.6,1.2,0.2,Iris-setosa
480,4.7,3.2,1.4,0.2,Iris-setosa
481,4.3,3.7,1.3,0.3,Iris-setosa
482,5.7,3.1,1.0,0.2,Iris-setosa
483,5.4,4.2,1.3,0.3,Iris-setosa
484,4.8,3.4,1.9,0.1,Iris-setosa
485,5.1,3.6,1.7,0.3,Iris-setosa
486,5.1,3.3,1.5,0.2,Iris-setosa
487,5.2,3.3,1.5,0.2,Iris-setosa
488,5.4,3.4,1.2,0.4,Iris-setosa
489,4.7,3.2,1.4,0.4,Iris-setosa
490,4.3,4.6,1.6,0.3,Iris-setosa
491,5.0,3.5,1.6,0.3,Iris-setosa
492,5.2,3.5,1.4,0.2,Iris-setosa
493,4.9,3.8,1.6,0.0,Iris-setosa
494,5.2,3.5,1.5,0.2,Iris-setosa
495,5.4,3.8,1.3,0.3,Iris-setosa
496,4.7,2.9,1.4,0.3,Iris-setosa
497,5.3,3.6,1.6,0.3,Iris-setosa
498,4.8,3.6,1.6,0.3,Iris-setosa
499,5.4,3.7,1.5,0.4,Iris-setosa
500,5.0,3.1,1.4,0.2,Iris-setosa
501,4.8,3.4,1.3,0.2,Iris-setosa
502,4.3,3.5,1.5,0.2,Iris-setosa
503,5.2,3.8,1.2,0.2,Iris-setosa
504,4.7,3.1,1.6,0.2,Iris-setosa
505,4.9,2.7,1.6,0.1,Iris-setosa
506,5.0,3.5,1.7,0.1,Iris-setosa
507,3.9,3.5,1.8,0.4,Iris-setosa
508,5.1,3.2,1.6,0.1,Iris-setosa
509,5.2,3.6,1.6,0.5,Iris-setosa
510,5.1,3.2,1.5,0.1,Iris-setosa
511,4.8,3.3,1.4,0.3,Iris-setosa
512,4.7,3.8,1.5,0.2,Iris-setosa
513,4.9,3.5,1.6,0.2,Iris-setosa
514,4.8,3.3,1.2,0.2,Iris-setosa
515,4.8,3.8,1.5,0.3,Iris-setosa
516,5.3,3.4,1.5,0.2,Iris-setosa
517,5.1,3.2,1.0,0.2,Iris-setosa
518,5.5,3.8,1.6,0.4,Iris-setosa
519,5.0,3.5,1.4,0.2,Iris-setosa
520,5.2,3.9,1.4,0.2,Iris-setosa
521,5.0,3.6,1.2,-0.0,Iris-setosa
522,4.8,3.0,1.4,0.2,Iris-setosa
523,4.8,4.0,1.5,0.3,Iris-setosa
524,5.2,3.0,1.6,0.2,Iris-setosa
525,5.2,3.0,1.2,0.3,Iris-setosa
526,5.1,3.1,1.3,0.4,Iris-setosa
527,4.6,4.0,1.3,0.3,Iris-setosa
528,4.9,3.6,1.4,0.2,Iris-setosa
529,5.0,3.0,1.6,0.2,Iris-setosa
530,4.9,3.0,1.0,0.2,Iris-setosa
531,5.9,3.7,1.5,0.2,Iris-setosa
532,5.0,3.6,1.3,0.4,Iris-setosa
533,5.3,3.7,1.5,0.2,Iris-setosa
534,5.2,3.6,1.4,0.2,Iris-setosa
535,5.0,4.0,1.2,0.1,Iris-setosa
